id	rate
21	29.27665128
36	26.49801492
23	13.09848995
37	23.12284619
5	23.78701036
4	25.41485151
27	24.38168558
17	24.4781704
67	13.03207386
68	9.136803709
57	9.060844603
65	12.94904484
35	4.934534157
18	8.703898915
2	6.220565326
28	7.639643383
62	9.409868766
61	10.00453606
63	10.95584749
66	16.74396239
16	7.547203129
38	15.41689944
39	13.44391482
64	14.29428723
30	13.65408679
40	17.57630008
29	8.881484161
31	10.55390418
55	9.397540926
41	24.36533624
13	17.11650474
3	12.97560479
19	9.911233334
14	20.21916977
0	17.55638389
10	14.41860141
9	12.49474906
15	13.28634926
25	17.79185858
44	7.975346715
45	12.48584684
26	14.44340604
32	18.31269268
51	18.6148047
52	13.21022333
1	12.24741338
50	19.33637587
8	19.08682038
69	17.14339406
48	15.35768161
24	15.63298711
56	15.99256471
49	19.37008777
47	11.95382734
22	14.87970027
42	10.85687375
6	15.19157222
53	17.04848673
54	17.96681413
